,case_id,event_num_in_case,activity_name,department,resource_role,resource_id,start_timestamp_utc,end_timestamp_utc,duration_minutes,wait_time_minutes,queue_length_at_start,system_load_index_0to1,expected_duration_minutes,variance_to_expected,is_bottleneck_event,inbound_channel,region,customer_tier,industry,company_size_bucket,tech_maturity_1to5,risk_tolerance_1to5,priority,sla_hours,sla_breached,handoff_count_so_far,case_cycle_time_hours,weekday,hour_of_day,month
10,C00002,4,Execute Task,IT,Engineer,Engineer-689,2025-03-02T13:08:48,2025-03-02T15:08:13,119.42,60.48,4,0.323,180,-0.337,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,2,9.565833333333334,Sunday,13,3
11,C00002,5,Quality Check,QA,QA Analyst,QA-390,2025-03-02T15:36:22,2025-03-02T16:47:38,71.26,28.15,3,0.44,45,0.584,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,3,9.565833333333334,Sunday,15,3
12,C00002,6,Close Ticket,Customer Success,Rep,Rep-261,2025-03-02T17:45:51,2025-03-02T18:07:12,21.35,58.22,4,0.358,15,0.423,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,4,9.565833333333334,Sunday,17,3
13,C00003,1,Receive Request,Sales Support,Coordinator,Coordinator-244,2025-05-12T18:14:15,2025-05-12T18:25:58,11.72,74.25,9,0.553,10,0.172,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,0,12.760833333333334,Monday,18,5
14,C00003,2,Validate Request,Operations,Analyst,Analyst-192,2025-05-12T19:19:03,2025-05-12T20:13:08,54.09,53.08,2,0.526,30,0.803,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,1,12.760833333333334,Monday,19,5
15,C00003,3,Approve Budget (optional),Finance,Manager,Manager-661,2025-05-12T20:38:53,2025-05-13T00:41:46,242.88,25.75,4,0.394,90,1.699,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,2,12.760833333333334,Monday,20,5
16,C00003,4,Assign Resource,IT,Manager,Manager-688,2025-05-13T01:11:45,2025-05-13T01:34:25,22.67,29.99,3,0.175,20,0.134,0,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,3,12.760833333333334,Tuesday,1,5
17,C00003,5,Execute Task,IT,Engineer,Engineer-706,2025-05-13T01:55:02,2025-05-13T03:06:03,71.02,20.61,2,0.134,180,-0.605,0,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,3,12.760833333333334,Tuesday,1,5
18,C00003,6,Quality Check,QA,QA Analyst,QA-500,2025-05-13T03:44:06,2025-05-13T05:16:50,92.73,38.05,2,0.194,45,1.061,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,4,12.760833333333334,Tuesday,3,5
19,C00003,7,Close Ticket,Customer Success,Rep,Rep-528,2025-05-13T06:43:07,2025-05-13T06:59:54,16.79,86.28,6,0.256,15,0.119,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,5,12.760833333333334,Tuesday,6,5
20,C00004,1,Receive Request,Sales Support,Coordinator,Coordinator-375,2025-07-11T12:39:51,2025-07-11T12:48:35,8.73,84.86,5,0.494,10,-0.127,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,0,17.968611111111112,Friday,12,7
21,C00004,2,Validate Request,Operations,Analyst,Analyst-203,2025-07-11T14:22:47,2025-07-11T15:02:59,40.2,94.2,5,0.61,30,0.34,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,1,17.968611111111112,Friday,14,7
22,C00004,3,Assign Resource,IT,Manager,Manager-596,2025-07-11T16:11:06,2025-07-11T16:36:25,25.32,68.11,3,0.607,20,0.266,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,2,17.968611111111112,Friday,16,7
23,C00004,4,Execute Task,IT,Engineer,Engineer-260,2025-07-11T20:02:15,2025-07-12T04:06:37,484.37,205.84,5,0.615,180,1.691,1,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,2,17.968611111111112,Friday,20,7
24,C00004,5,Quality Check,QA,QA Analyst,QA-159,2025-07-12T05:08:35,2025-07-12T05:42:16,33.68,61.96,2,0.05,45,-0.252,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,3,17.968611111111112,Saturday,5,7
25,C00004,6,Close Ticket,Customer Success,Rep,Rep-464,2025-07-12T06:16:32,2025-07-12T06:37:58,21.44,34.27,2,0.05,15,0.429,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,4,17.968611111111112,Saturday,6,7
26,C00005,1,Receive Request,Sales Support,Coordinator,Coordinator-661,2025-02-05T17:14:06,2025-02-05T17:23:51,9.76,29.1,1,0.668,10,-0.024,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,0,16.805555555555557,Wednesday,17,2
27,C00005,2,Validate Request,Operations,Analyst,Analyst-903,2025-02-05T19:02:00,2025-02-05T19:43:07,41.12,98.15,5,0.654,30,0.371,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,1,16.805555555555557,Wednesday,19,2
28,C00005,3,Approve Budget (optional),Finance,Manager,Manager-862,2025-02-05T23:01:42,2025-02-06T02:42:40,220.97,198.57,6,0.488,90,1.455,1,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,2,16.805555555555557,Wednesday,23,2
29,C00005,4,Assign Resource,IT,Manager,Manager-866,2025-02-06T03:59:01,2025-02-06T04:18:39,19.64,76.35,2,0.171,20,-0.018,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,3,16.805555555555557,Thursday,3,2
30,C00005,5,Execute Task,IT,Engineer,Engineer-189,2025-02-06T05:06:18,2025-02-06T07:12:37,126.33,47.64,4,0.179,180,-0.298,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,3,16.805555555555557,Thursday,5,2
31,C00005,6,Quality Check,QA,QA Analyst,QA-650,2025-02-06T08:16:17,2025-02-06T08:53:44,37.45,63.66,4,0.321,45,-0.168,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,4,16.805555555555557,Thursday,8,2
32,C00005,7,Close Ticket,Customer Success,Rep,Rep-177,2025-02-06T09:43:29,2025-02-06T10:02:26,18.95,49.75,3,0.441,15,0.263,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,5,16.805555555555557,Thursday,9,2
33,C00006,1,Receive Request,Sales Support,Coordinator,Coordinator-391,2025-05-09T09:20:53,2025-05-09T09:29:22,8.49,65.89,5,0.331,10,-0.151,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,0,16.490277777777777,Friday,9,5
34,C00006,2,Validate Request,Operations,Analyst,Analyst-348,2025-05-09T10:11:54,2025-05-09T10:48:12,36.31,42.52,4,0.434,30,0.21,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,1,16.490277777777777,Friday,10,5
35,C00006,3,Approve Budget (optional),Finance,Manager,Manager-553,2025-05-09T11:17:19,2025-05-09T13:40:54,143.58,29.11,8,0.499,90,0.595,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,2,16.490277777777777,Friday,11,5
36,C00006,4,Assign Resource,IT,Manager,Manager-794,2025-05-09T14:10:54,2025-05-09T14:32:27,21.56,30.0,2,0.615,20,0.078,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,3,16.490277777777777,Friday,14,5
37,C00006,5,Execute Task,IT,Engineer,Engineer-191,2025-05-09T20:31:39,2025-05-09T23:11:01,159.37,359.19,8,0.634,180,-0.115,1,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,3,16.490277777777777,Friday,20,5
38,C00006,6,Quality Check,QA,QA Analyst,QA-162,2025-05-09T23:39:22,2025-05-10T00:52:20,72.96,28.36,5,0.23,45,0.621,1,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,4,16.490277777777777,Friday,23,5
39,C00006,7,Close Ticket,Customer Success,Rep,Rep-811,2025-05-10T01:33:43,2025-05-10T01:50:18,16.58,41.38,3,0.05,15,0.105,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,5,16.490277777777777,Saturday,1,5
40,C00007,1,Receive Request,Sales Support,Coordinator,Coordinator-129,2025-04-29T13:23:47,2025-04-29T13:41:01,17.23,53.79,5,0.595,10,0.723,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,0,26.05666666666667,Tuesday,13,4
41,C00007,2,Validate Request,Operations,Analyst,Analyst-558,2025-04-29T14:48:38,2025-04-29T15:23:55,35.28,67.62,4,0.658,30,0.176,0,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,1,26.05666666666667,Tuesday,14,4
42,C00007,3,Approve Budget (optional),Finance,Manager,Manager-806,2025-04-29T15:55:49,2025-04-29T19:42:00,226.18,31.9,2,0.58,90,1.513,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,2,26.05666666666667,Tuesday,15,4
43,C00007,4,Assign Resource,IT,Manager,Manager-919,2025-04-29T21:22:52,2025-04-29T21:53:04,30.19,100.88,7,0.465,20,0.51,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,3,26.05666666666667,Tuesday,21,4
44,C00007,5,Execute Task,IT,Engineer,Engineer-876,2025-04-29T22:35:22,2025-04-30T04:38:41,363.32,42.3,3,0.328,180,1.018,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,3,26.05666666666667,Tuesday,22,4
45,C00007,6,Vendor Review (optional),Operations,VendorMgr,VendorMgr-901,2025-04-30T06:18:50,2025-04-30T12:40:19,381.48,100.15,3,0.205,240,0.59,0,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,4,26.05666666666667,Wednesday,6,4
46,C00007,7,Quality Check,QA,QA Analyst,QA-602,2025-04-30T13:46:09,2025-04-30T14:09:34,23.42,65.84,4,0.654,45,-0.48,0,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,5,26.05666666666667,Wednesday,13,4
47,C00007,8,Close Ticket,Customer Success,Rep,Rep-971,2025-04-30T14:55:52,2025-04-30T15:27:11,31.31,46.3,5,0.648,15,1.087,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,6,26.05666666666667,Wednesday,14,4
48,C00008,1,Receive Request,Sales Support,Coordinator,Coordinator-591,2025-02-19T12:11:03,2025-02-19T12:23:18,12.24,116.06,4,0.529,10,0.224,0,Email,US-East,Platinum,Retail,1001-5000,3,2,Low,168,0,0,21.87,Wednesday,12,2
49,C00008,2,Validate Request,Operations,Analyst,Analyst-912,2025-02-19T13:59:12,2025-02-19T14:29:58,30.78,95.9,6,0.635,30,0.026,1,Email,US-East,Platinum,Retail,1001-5000,3,2,Low,168,0,1,21.87,Wednesday,13,2
