case_id,event_num_in_case,activity_name,department,resource_role,resource_id,start_timestamp_utc,end_timestamp_utc,duration_minutes,wait_time_minutes,queue_length_at_start,system_load_index_0to1,expected_duration_minutes,variance_to_expected,is_bottleneck_event,inbound_channel,region,customer_tier,industry,company_size_bucket,tech_maturity_1to5,risk_tolerance_1to5,priority,sla_hours,sla_breached,handoff_count_so_far,case_cycle_time_hours,weekday,hour_of_day,month,concurrent_case_count,rolling_wait_time,estimated_system_load
C00002,2,Validate Request,Operations,Analyst,Analyst-282,2025-03-02 09:27:58,2025-03-02 10:04:34,36.6,33.5,1,0.205,30,0.22,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,1,9.565833333333334,Sunday,9,3,0,81.28299999999999,0.6563348985410027
C00002,3,Assign Resource,IT,Manager,Manager-185,2025-03-02 11:43:36,2025-03-02 12:08:19,24.72,99.03,4,0.268,20,0.236,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,2,9.565833333333334,Sunday,11,3,0,81.37100000000001,0.6574417239644476
C00002,4,Execute Task,IT,Engineer,Engineer-689,2025-03-02 13:08:48,2025-03-02 15:08:13,119.42,60.48,4,0.323,180,-0.337,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,2,9.565833333333334,Sunday,13,3,0,67.562,0.4837581754150595
C00002,5,Quality Check,QA,QA Analyst,QA-390,2025-03-02 15:36:22,2025-03-02 16:47:38,71.26,28.15,3,0.44,45,0.584,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,3,9.565833333333334,Sunday,15,3,0,62.742000000000004,0.423134328358209
C00002,6,Close Ticket,Customer Success,Rep,Rep-261,2025-03-02 17:45:51,2025-03-02 18:07:12,21.35,58.22,4,0.358,15,0.423,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,4,9.565833333333334,Sunday,17,3,0,63.8,0.43644138856280396
C00007,1,Receive Request,Sales Support,Coordinator,Coordinator-129,2025-04-29 13:23:47,2025-04-29 13:41:01,17.23,53.79,5,0.595,10,0.723,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,0,26.05666666666667,Tuesday,13,4,0,62.813,0.4240273352339427
C00007,2,Validate Request,Operations,Analyst,Analyst-558,2025-04-29 14:48:38,2025-04-29 15:23:55,35.28,67.62,4,0.658,30,0.176,0,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,1,26.05666666666667,Tuesday,14,4,0,64.6,0.4465034378668455
C00007,3,Approve Budget (optional),Finance,Manager,Manager-806,2025-04-29 15:55:49,2025-04-29 19:42:00,226.18,31.9,2,0.58,90,1.513,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,2,26.05666666666667,Tuesday,15,4,0,56.184000000000005,0.3406506791883281
C00007,4,Assign Resource,IT,Manager,Manager-919,2025-04-29 21:22:52,2025-04-29 21:53:04,30.19,100.88,7,0.465,20,0.51,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,3,26.05666666666667,Tuesday,21,4,0,56.681999999999995,0.34691430488009384
C00007,5,Execute Task,IT,Engineer,Engineer-876,2025-04-29 22:35:22,2025-04-30 04:38:41,363.32,42.3,3,0.328,180,1.018,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,3,26.05666666666667,Tuesday,22,4,0,57.587,0.35829699815529104
C00007,6,Vendor Review (optional),Operations,VendorMgr,VendorMgr-901,2025-04-30 06:18:50,2025-04-30 12:40:19,381.48,100.15,3,0.205,240,0.59,0,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,4,26.05666666666667,Wednesday,6,4,0,64.252,0.4421264464195874
C00007,7,Quality Check,QA,QA Analyst,QA-602,2025-04-30 13:46:09,2025-04-30 14:09:34,23.42,65.84,4,0.654,45,-0.48,0,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,5,26.05666666666667,Wednesday,13,4,0,60.93300000000001,0.400381519369445
C00007,8,Close Ticket,Customer Success,Rep,Rep-971,2025-04-30 14:55:52,2025-04-30 15:27:11,31.31,46.3,5,0.648,15,1.087,1,Email,US-West,Gold,Energy,5000+,2,1,High,72,0,6,26.05666666666667,Wednesday,14,4,0,59.515,0.3825465369780312
C00006,1,Receive Request,Sales Support,Coordinator,Coordinator-391,2025-05-09 09:20:53,2025-05-09 09:29:22,8.49,65.89,5,0.331,10,-0.151,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,0,16.490277777777777,Friday,9,5,0,63.289,0.43001425456984743
C00006,2,Validate Request,Operations,Analyst,Analyst-348,2025-05-09 10:11:54,2025-05-09 10:48:12,36.31,42.52,4,0.434,30,0.21,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,1,16.490277777777777,Friday,10,5,0,61.71900000000001,0.4102674828106659
C00006,3,Approve Budget (optional),Finance,Manager,Manager-553,2025-05-09 11:17:19,2025-05-09 13:40:54,143.58,29.11,8,0.499,90,0.595,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,2,16.490277777777777,Friday,11,5,0,59.251,0.37922606070769743
C00006,4,Assign Resource,IT,Manager,Manager-794,2025-05-09 14:10:54,2025-05-09 14:32:27,21.56,30.0,2,0.615,20,0.078,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,3,16.490277777777777,Friday,14,5,0,55.489,0.3319092738554419
C00006,5,Execute Task,IT,Engineer,Engineer-191,2025-05-09 20:31:39,2025-05-09 23:11:01,159.37,359.19,8,0.634,180,-0.115,1,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,3,16.490277777777777,Friday,20,5,0,88.218,0.7435602884454134
C00006,6,Quality Check,QA,QA Analyst,QA-162,2025-05-09 23:39:22,2025-05-10 00:52:20,72.96,28.36,5,0.23,45,0.621,1,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,4,16.490277777777777,Friday,23,5,0,80.966,0.6523478115042763
C00006,7,Close Ticket,Customer Success,Rep,Rep-811,2025-05-10 01:33:43,2025-05-10 01:50:18,16.58,41.38,3,0.05,15,0.105,0,Email,US-East,Platinum,Logistics,5000+,3,2,High,96,0,5,16.490277777777777,Saturday,1,5,0,80.874,0.6511906758343116
C00003,1,Receive Request,Sales Support,Coordinator,Coordinator-244,2025-05-12 18:14:15,2025-05-12 18:25:58,11.72,74.25,9,0.553,10,0.172,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,0,12.760833333333334,Monday,18,5,0,78.284,0.6186147912124771
C00003,2,Validate Request,Operations,Analyst,Analyst-192,2025-05-12 19:19:03,2025-05-12 20:13:08,54.09,53.08,2,0.526,30,0.803,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,1,12.760833333333334,Monday,19,5,0,77.00800000000001,0.6025658225725308
C00003,3,Approve Budget (optional),Finance,Manager,Manager-661,2025-05-12 20:38:53,2025-05-13 00:41:46,242.88,25.75,4,0.394,90,1.699,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,2,12.760833333333334,Monday,20,5,0,74.953,0.5767189334227738
C00003,4,Assign Resource,IT,Manager,Manager-688,2025-05-13 01:11:45,2025-05-13 01:34:25,22.67,29.99,3,0.175,20,0.134,0,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,3,12.760833333333334,Tuesday,1,5,0,71.36300000000001,0.5315654871708874
C00003,5,Execute Task,IT,Engineer,Engineer-706,2025-05-13 01:55:02,2025-05-13 03:06:03,71.02,20.61,2,0.134,180,-0.605,0,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,3,12.760833333333334,Tuesday,1,5,0,69.172,0.5040080496394432
C00003,6,Quality Check,QA,QA Analyst,QA-500,2025-05-13 03:44:06,2025-05-13 05:16:50,92.73,38.05,2,0.194,45,1.061,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,4,12.760833333333334,Tuesday,3,5,0,70.066,0.5152523897367097
C00003,7,Close Ticket,Customer Success,Rep,Rep-528,2025-05-13 06:43:07,2025-05-13 06:59:54,16.79,86.28,6,0.256,15,0.119,1,Portal,US-East,Gold,Retail,1-50,3,4,Low,96,0,5,12.760833333333334,Tuesday,6,5,0,75.694,0.5860389065906424
C00004,1,Receive Request,Sales Support,Coordinator,Coordinator-375,2025-07-11 12:39:51,2025-07-11 12:48:35,8.73,84.86,5,0.494,10,-0.127,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,0,17.968611111111112,Friday,12,7,0,48.261,0.24099865839342616
C00004,2,Validate Request,Operations,Analyst,Analyst-203,2025-07-11 14:22:47,2025-07-11 15:02:59,40.2,94.2,5,0.61,30,0.34,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,1,17.968611111111112,Friday,14,7,0,54.845000000000006,0.3238093241656885
C00004,3,Assign Resource,IT,Manager,Manager-596,2025-07-11 16:11:06,2025-07-11 16:36:25,25.32,68.11,3,0.607,20,0.266,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,2,17.968611111111112,Friday,16,7,0,57.517999999999994,0.3574291464028173
C00004,4,Execute Task,IT,Engineer,Engineer-260,2025-07-11 20:02:15,2025-07-12 04:06:37,484.37,205.84,5,0.615,180,1.691,1,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,2,17.968611111111112,Friday,20,7,0,70.67699999999999,0.5229372798926714
C00004,5,Quality Check,QA,QA Analyst,QA-159,2025-07-12 05:08:35,2025-07-12 05:42:16,33.68,61.96,2,0.05,45,-0.252,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,3,17.968611111111112,Saturday,5,7,0,71.565,0.5341061546201576
C00004,6,Close Ticket,Customer Success,Rep,Rep-464,2025-07-12 06:16:32,2025-07-12 06:37:58,21.44,34.27,2,0.05,15,0.429,0,API,US-East,Standard,Software & SaaS,1001-5000,2,3,Medium,72,0,4,17.968611111111112,Saturday,6,7,0,72.417,0.5448222371289619
C00001,1,Receive Request,Sales Support,Coordinator,Coordinator-650,2025-07-18 17:02:02,2025-07-18 17:12:21,10.32,182.04,8,0.61,10,0.032,1,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,0,12.45472222222222,Friday,17,7,0,87.62199999999999,0.7360640617139023
C00001,2,Validate Request,Operations,Analyst,Analyst-683,2025-07-18 17:41:47,2025-07-18 18:13:27,31.67,29.43,6,0.599,30,0.056,0,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,1,12.45472222222222,Friday,17,7,0,88.50399999999999,0.7471574710716081
C00001,3,Approve Budget (optional),Finance,Manager,Manager-581,2025-07-18 18:55:46,2025-07-18 19:34:29,38.72,42.31,4,0.507,90,-0.57,0,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,2,12.45472222222222,Friday,18,7,0,88.92999999999999,0.7525155123260103
C00001,4,Assign Resource,IT,Manager,Manager-502,2025-07-18 20:34:05,2025-07-18 21:06:34,32.49,59.6,5,0.486,20,0.625,1,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,3,12.45472222222222,Friday,20,7,0,86.262,0.7189585778970318
C00001,5,Execute Task,IT,Engineer,Engineer-944,2025-07-18 22:32:05,2025-07-19 02:19:57,227.87,85.51,1,0.385,180,0.266,0,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,3,12.45472222222222,Friday,22,7,0,86.327,0.7197761194029851
C00001,6,Quality Check,QA,QA Analyst,QA-666,2025-07-19 03:31:19,2025-07-19 05:02:38,91.32,71.36,4,0.05,45,1.029,1,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,4,12.45472222222222,Saturday,3,7,0,84.04299999999999,0.6910489686399462
C00001,7,Close Ticket,Customer Success,Rep,Rep-778,2025-07-19 05:15:15,2025-07-19 05:29:19,14.07,12.62,0,0.05,15,-0.062,0,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,5,12.45472222222222,Saturday,5,7,0,78.494,0.6212560791547879
